detector,window,t_eq_cm,phi
D1,peak,476.63,2.383650e-04
D1,peak,478.59,2.381015e-04
D1,peak,480.55,2.378387e-04
D1,peak,482.51,2.375764e-04
D1,peak,484.47,2.373147e-04
D1,peak,486.43,2.370536e-04
D1,peak,488.39,2.367930e-04
D1,peak,490.36,2.365330e-04
D1,peak,492.32,2.362735e-04
D1,peak,494.28,2.360146e-04
D1,peak,496.24,2.357562e-04
D1,peak,498.20,2.354983e-04
D1,peak,500.16,2.352409e-04
D1,peak,502.12,2.349841e-04
D1,peak,504.09,2.347277e-04
D1,peak,506.05,2.344719e-04
D1,peak,508.01,2.342166e-04
D1,peak,509.97,2.339617e-04
D1,peak,511.93,2.337073e-04
D1,peak,513.89,2.334534e-04
D1,peak,515.85,2.332000e-04
D1,peak,517.82,2.329471e-04
D1,peak,519.78,2.326946e-04
D1,peak,521.74,2.324426e-04
D1,peak,523.70,2.321910e-04
D1,peak,525.66,2.319399e-04
D1,peak,527.62,2.316892e-04
D1,peak,529.58,2.314390e-04
D1,peak,531.55,2.311892e-04
D1,peak,533.51,2.309399e-04
D1,peak,535.47,2.306910e-04
D1,peak,537.43,2.304425e-04
D1,peak,539.39,2.301944e-04
D1,peak,541.35,2.299468e-04
D1,peak,543.31,2.296995e-04
D1,peak,545.28,2.294527e-04
D1,peak,547.24,2.292063e-04
D1,peak,549.20,2.289603e-04
D1,peak,551.16,2.287147e-04
D1,peak,553.12,2.284695e-04
D1,peak,555.08,2.282248e-04
D1,peak,557.04,2.279804e-04
D1,peak,559.01,2.277364e-04
D1,peak,560.97,2.274927e-04
D1,peak,562.93,2.272495e-04
D1,peak,564.89,2.270067e-04
D1,peak,566.85,2.267642e-04
D1,peak,568.81,2.265221e-04
D1,peak,570.77,2.262804e-04
D1,peak,572.74,2.260390e-04
D1,peak,574.70,2.257980e-04
D1,peak,576.66,2.255574e-04
D1,peak,578.62,2.253172e-04
D1,peak,580.58,2.250773e-04
D1,peak,582.54,2.248378e-04
D1,peak,584.50,2.245986e-04
D1,peak,586.47,2.243598e-04
D1,peak,588.43,2.241214e-04
D1,peak,590.39,2.238833e-04
D1,peak,592.35,2.236455e-04
D1,peak,594.31,2.234081e-04
D1,peak,596.27,2.231710e-04
D1,peak,598.23,2.229343e-04
D1,peak,600.20,2.226979e-04
D1,peak,602.16,2.224619e-04
D1,peak,604.12,2.222262e-04
D1,peak,606.08,2.219908e-04
D1,peak,608.04,2.217558e-04
D1,peak,610.00,2.215211e-04
D1,peak,611.96,2.212867e-04
D1,peak,613.93,2.210527e-04
D1,peak,615.89,2.208190e-04
D1,peak,617.85,2.205856e-04
D1,peak,619.81,2.203525e-04
D1,peak,621.77,2.201198e-04
D1,peak,623.73,2.198873e-04
D1,peak,625.69,2.196552e-04
D1,peak,627.66,2.194234e-04
D1,peak,629.62,2.191919e-04
D1,peak,631.58,2.189608e-04
D1,peak,633.54,2.187299e-04
D1,peak,635.50,2.184994e-04
D1,peak,637.46,2.182692e-04
D1,peak,639.42,2.180392e-04
D1,peak,641.39,2.178096e-04
D1,peak,643.35,2.175803e-04
D1,peak,645.31,2.173513e-04
D1,peak,647.27,2.171226e-04
D1,peak,649.23,2.168942e-04
D1,peak,651.19,2.166661e-04
D1,peak,653.15,2.164382e-04
D1,peak,655.12,2.162107e-04
D1,peak,657.08,2.159835e-04
D1,peak,659.04,2.157566e-04
D1,peak,661.00,2.155300e-04
D1,peak,662.96,2.153036e-04
D1,peak,664.92,2.150776e-04
D1,peak,666.88,2.148518e-04
D1,peak,668.85,2.146264e-04
D1,peak,670.81,2.144012e-04
D1,peak,672.77,2.141763e-04
D1,peak,674.73,2.139517e-04
D1,peak,676.69,2.137274e-04
D1,peak,678.65,2.135033e-04
D1,peak,680.61,2.132796e-04
D1,peak,682.58,2.130561e-04
D1,peak,684.54,2.128329e-04
D1,peak,686.50,2.126100e-04
D1,peak,688.46,2.123873e-04
D1,peak,690.42,2.121650e-04
D1,peak,692.38,2.119429e-04
D1,peak,694.34,2.117211e-04
D1,peak,696.31,2.114996e-04
D1,peak,698.27,2.112783e-04
D1,peak,700.23,2.110573e-04
D1,peak,702.19,2.108366e-04
D1,peak,704.15,2.106162e-04
D1,peak,706.11,2.103960e-04
D1,peak,708.07,2.101761e-04
D1,peak,710.04,2.099564e-04
D1,peak,712.00,2.097371e-04
D1,peak,713.96,2.095180e-04
D1,peak,715.92,2.092991e-04
D1,peak,717.88,2.090806e-04
D1,peak,719.84,2.088623e-04
D1,peak,721.80,2.086442e-04
D1,peak,723.77,2.084264e-04
D1,peak,725.73,2.082089e-04
D1,peak,727.69,2.079917e-04
D1,peak,729.65,2.077747e-04
